symbol,price,price_change,price_percent_change
WTF,19.85,15.85,396.25
NMAX,233.0,149.49,179.01
ICCT,4.72,2.48,110.71
GATE,35.26,16.44,87.35
QSG,6.58,2.56,63.68
NUTX,71.4,24.37,51.82
CRWV,52.57,15.49,41.77
SONM,2.96,0.82,38.32
LSE,5.95,1.47,32.81
NXU,3.46,0.79,29.59
CSAI,5.7,1.26,28.38
LXEH,24.99,5.16,25.99
EHLD,5.75,0.97,20.29
PVH,76.43,11.79,18.24
ALMS,7.24,1.1,17.92
HSAI,17.43,2.63,17.77
LGPS,3.43,0.47,15.88
ALTS,4.45,0.57,14.69
HUT,13.32,1.7,14.63
ELVA,2.64,0.33,14.29
APLM,7.0,0.8,12.9
PN,3.88,0.44,12.79
ZYXI,2.48,0.28,12.73
CLSK,7.56,0.84,12.5
PRGS,57.76,6.25,12.13
LICN,4.29,0.44,11.43
BNGO,3.1,0.31,11.11
JVA,3.94,0.39,10.99
RUN,6.49,0.63,10.75
CORZ,8.0,0.76,10.5
AARD,8.29,0.78,10.39
VTSI,4.49,0.42,10.32
OZ,71.01,6.51,10.09
CLPT,13.09,1.2,10.09
ENGS,4.95,0.45,10.0
LUD,3.97,0.36,9.97
BLBX,3.73,0.33,9.71
UPB,6.7,0.58,9.48
XGN,3.93,0.34,9.47
CRVO,9.98,0.83,9.07
NOTV,2.41,0.2,9.05
IREN,6.64,0.55,9.03
KNOP,7.61,0.63,9.03
TRVG,4.47,0.37,9.02
BTMD,3.63,0.3,9.01
OCG,3.15,0.26,9.0
LEDS,2.43,0.2,8.97
RUM,7.7,0.63,8.91
RCAT,6.39,0.51,8.67
BZAI,2.19,0.17,8.42
APLD,6.09,0.47,8.36
XELB,3.0,0.23,8.3
LFVN,15.79,1.21,8.3
Holdings,66.59,5.1,8.29
SNBR,6.86,0.52,8.2
PRTH,7.37,0.56,8.14
BE,21.24,1.58,8.04
MNDY,262.18,19.02,7.82
AIRJ,4.97,0.36,7.81
QVCGB,7.16,0.52,7.76
SURG,2.23,0.16,7.73
AEHR,7.85,0.56,7.68
BLUE,5.25,0.37,7.58
FWRG,17.91,1.26,7.57
NBIS,22.69,1.58,7.48
MXL,11.65,0.79,7.27
BLMN,7.69,0.52,7.25
BLND,3.59,0.24,7.16
NUKK,12.73,0.84,7.06
DSP,13.28,0.87,7.01
CIFR,2.46,0.16,6.96
China,16.06,1.02,6.78
APP,282.7,17.73,6.69
NPCE,13.11,0.82,6.67
RIVN,13.28,0.83,6.67
SNWV,37.71,2.34,6.62
MDCX,4.0,0.24,6.38
EWCZ,4.2,0.25,6.33
OS,22.68,1.34,6.28
MNTK,2.22,0.13,6.22
MSTR,306.02,17.75,6.16
BBW,39.45,2.28,6.13
EOSE,4.01,0.23,6.08
ZIM,15.46,0.87,5.96
BTBT,2.14,0.12,5.94
RIOT,7.54,0.42,5.9
ACDC,8.03,0.44,5.8
WGRX,4.57,0.25,5.79
MFH,5.67,0.31,5.78
DAKT,12.88,0.7,5.75
DOOO,35.75,1.94,5.74
USAR,6.28,0.34,5.72
CBRL,41.01,2.19,5.64
MWYN,4.4,0.23,5.52
WULF,2.88,0.15,5.49
KGEI,8.85,0.46,5.48
EZPW,15.52,0.8,5.43
DUOL,327.38,16.84,5.42
CGNT,8.22,0.42,5.38
WHLR,3.32,0.17,5.22
